Group Id,Legally incorporated,Legal form,Date of incorporation,Group Formation Date,Are they working with the Hub?,Registered Provider,Charitable Status,Project ID,Project Postcode Area,Current Stage,Approach/Model,Total number of homes,Target overall year for completion,Affordable Rent Homes,Discounted Market Sale Homes (% income),Discounted Market Sale Homes (% market),Intermediate Rent Homes,Market Sale Homes,Mutual Home Ownership Homes,Social Rent Homes,Living Rent Homes,Market Rent Homes,Shared Equity Homes,Shared Ownership Homes,Rent to Buy Homes,Undetermined Tenure Homes,Refurbished Homes,New Build Homes,Not Known Age Homes,Homes bought from developer,Custom-build homes,Self-finish homes,Conventional build method homes,Self-build homes,Not known build method homes,
764,FALSE,Not yet incorporated,,,,FALSE,FALSE,795,TR1,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1122,TRUE,Community Benefit Society (non-charitable),27/07/2017,,No,FALSE,FALSE,1162,EX18,Plan,Community Land Trust,10,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
1268,FALSE,,,,Yes,FALSE,FALSE,1282,BN18,Site,Community Land Trust,20,2022,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,
1270,FALSE,,15/08/2018,,Yes,FALSE,FALSE,1284,,Group,Community Land Trust,15,2023,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,15,
1273,FALSE,,,,No,FALSE,FALSE,1287,,Plan,Community Land Trust,60,2021,20,0,0,0,40,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,
1274,FALSE,,,,No,FALSE,FALSE,1288,,Group,Community Land Trust,10,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
1275,FALSE,,,,No,FALSE,FALSE,1358,,Group,Community Land Trust,10,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
1276,FALSE,,,,No,FALSE,FALSE,1359,,Site,Community Land Trust,10,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
1277,FALSE,,,,No,FALSE,FALSE,1360,,Site,Community Land Trust,15,2022,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,
118,TRUE,Registered Society (formerly known as Industrial and Provident Society),09/03/2009,,,FALSE,FALSE,124,TQ9,Live,Community Land Trust,6,2016,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,
123,TRUE,Community Benefit Society (non-charitable),30/11/2016,,,FALSE,FALSE,129,HR3,Concept,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
149,FALSE,Not yet incorporated,07/06/2001,,,FALSE,FALSE,156,PL33,Live,Community Land Trust,14,2012,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,
600,TRUE,Registered Society (formerly known as Industrial and Provident Society),28/08/2012,,No,FALSE,FALSE,623,DT6,Live,Community Land Trust,7,2015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,
