Name,Established,Type of ownership,Number of housing units,Type,Adresse,Postal number
"Glasværket (1999, ombygget industribygning)",1999,Almene boliger,25,To plan. Rækkehuse og lejligheder,"Brummers Plads 1-27, 5000 Odense",5000
Grendalsvej (1999),1999,Almene boliger,20,Tæt-lav,"Grendalsvej 2-42, 4230 Skælskør",4230
AB GrønboParken (1998),1998,Andelsboliger,16,Tæt-lav,"Emil Reesens Vej 20 m.fl., 7100 Vejle",7100
Grønbotoften (1998),1998,Almene boliger,28,Tæt-lav,"Emil Reesens Vej, Grønbotoften m.fl., 7100 Vejle",7100
AB Carl Nielsen 1,,Andelsboliger,24,,"Lange Müllers Vej 17 m.fl., 7100 Vejle",7100
AB Carl Nielsen 2,,Andelsboliger,20,,"Lange Müllers vej 45, 7100 Vejle",7100
Grönings Have (2005),2005,Almene boliger,15,Etagebyggeri,"J.C. Christensens Gade 5, 2300 København S",2300
Grønnebo (1997),1997,Andelsbolig,20,Etagebyggeri,"Grønnegade 7, 7400 Herning",7400
Grønvang (2002),2002,Andelsboliger,25,Tæt-lav,"Blommehaverne 9 (m.fl.), 4040 Jyllinge",4040
Gyldenlund (2003),2003,Almene boliger,15,Tæt-lav,"Gyldenlund 9-39, 5500 Langeskov",5500
Hammerparken (1993),1993,Almene boliger,21,Tæt-lav,"Hammeren 101-141,Hammeren 119, 5320 Agderup",5320
Hasseris Seniorbofællesskab (ca. 1998),1998,Almene boliger ,20,Tæt-lav,"Sælsager 59 (m.fl.), 9000 Aalborg",9000
Hellevangen (1996),1996,Almene boliger,10,Tæt-lav,"Hellevangen 55 A, lejlighed 1-10, 9000 Aalborg",9000
Hestehavelund (2005/6),2006,Almene boliger,16,Tæt-lav,"Møllehøjvænget 5-39 (m.fl.), 5792 Årslev",5792
Horsens Hospital (1560/2005),2005,Bygningen ejes af stiftelse,19,Etagebyggeri. Gammel stiftelsesbygning,"Levysgade 6, 8700 Horsens",8700
Hortensia Parken (2002),2002,Almene boliger,20,Tæt-lav,"Hortensiavej, 7700 Thisted",7700
Hovbanken,,Amene boliger,16,Tæt-lav,"Hovbanken 8-38, 5500 Langeskov",5500
Humlehaven (2002),2002,Andelsboliger,20,Tæt-lav,"Humlehaven 2-42, 3200 Helsinge",3200
Ingridsparken (2000),2000,Andelsboliger,20,Tæt-lav,"Ingridsvej, 7400 Herning",7400
Junoparken (2000),2000,Almene boliger,12,Tæt-lav,"Junoparken 2-26, Mou, 9280 Storvorde      ",9280
Jægerbo (2002),2002,Almene boliger,18,Tæt-lav,"Jægerstræde 2-38, 2750 Ballerup",2750
Kastaniebo (1997),1997,Almene boliger,26,Etagebyggeri,"Kampmannsgade 16-20, 7400 Herning",7400
Kastanjen (2002),2002,Almene boliger,16,"Etagebyggeri, to plan","Vølundsvej 2, 6705 Esbjerg Ø",6705
Kildehøjen (2002),2002,Andelsboliger,12,Tæt-lav,"Kildehøjen 7 (m.fl.), 5610 Assens",5610
Klintebakken (2004),2004,Almene boliger,15,Tæt-lav,"Abildhøjparken 2-32, 4720 Præstø",4720
Klosterengen (2004),2004,Almene boliger,20,Tæt-lav,"Klosterengen 1-30, 4400 Kalundborg",4400
Kløverbo,,Almene boliger,12,Tæt-lav,"Kløverbo 1-23, 7080 Børkop",7080
Kløveren (2003),2003,Almene boliger,12, Tæt-lav,"Dyvelåsen 1-17, 2765 Smørum",2765
Kløvermarken (2002),2002,Almene boliger og medejerboliger,19,Tæt-lav,"Søndergårds Allé 200 – 223, 2750 Ballerup.",2750
Kløverparken 2,,Almene boliger,20,Byggeri i to plan,"Firkløvervej 31-41, 4000 Roskilde",4000
Kongskær (1997),1997,Andelsboliger,17,Tæt-lav,"Primulavej, 7100 Vejle",7100
Kongskær (1997),1997,Almene boliger,25,Tæt-lav,"Primulavej, 7100 Vejle",7100
Kongskær (1997),1997,Ejerboliger,3,Tæt-lav,"Primulavej, 7100 Vejle",7100
Konsulatet (2003),2003,Almene boliger,16,Etagebyggeri,"Konsul Beyers Allé 1 B, 4300 Holbæk",4300
Korvetten (1998),1998,Almene boliger,16,Tæt-lav,"Korvetten 2-16 og 3-17, 5330 Munkebo ",5330
Kragehave Vest 2,,Andelsboliger,16,Tæt-lav,"Frøvænget 17 (m.fl.), 2630 Taastrup",2630
Kærehave (2006),2006,Andelsboliger,25,Tæt-lav,"Kærehave 1-11 og 2-40, 4100 Ringsted",4100
Agergårdshaven (2007),2007,Andelsboliger,23,Tæt-lav,"Agergårdshaven 24 (m.fl.), 2890 Karlslunde",2890
Langkilden (2003),2003,Almene boliger,20,Tæt-lav,"Langkildevej 2-6, 2650 Hvidovre",2650
