Name,Established,Type of ownership,Number of housing units,Type,Adresse,Postal number
Seniorbofællesskabet Færgelejet,2018,Almene boliger,39,,"""Nyborg Havn""",5800
Den 3. Revle,2020,,33,,Tikøbgade,2200
Hald Ege,2018,,21,,Videbechs Allé 24 - 62,8800
 Lystoftegård,2019,Andelsboliger,20,,Gl. Skovlundevej 1,2750
Seniorbofællesskabet Ydungaard,2021,Almene boliger,36,, Kirke Værløsevej 55,3500
"""Den råde tråd"" / ""Musicon""",2021,private- og almene boliger,24,,Rabalderstræde,4000
DALEN (Birkebo III),2019,,40,,Hellebo Park,3000
Bellevue (Daloongrunden),2019,Almene boliger,33,,Bellevue 6,5900
Seniorbofællesskabet Sundbakken,2019,Almene boliger,30,Et-plan,"Sundbakken 16, Stensballe",8700
Seniorbofællesskabet Midgård,2020,Almene boliger,28,,Farum Bytorv,3520
"""Fyrkildevej""",2020,Almene boliger,,,Fyrkildevej 22-45,9220
"Boligfællesskabet Broen, Køge Kyst",2020,Almene boliger,28,,Køge Kyst Søndre Havn,4600
Roholmparken i Albertslund,2022,Almene boliger,25,,"Roholmparken, Trippendalsvej",2620
Roholmparken i Albertslund,2022,Almene boliger,25,,"Roholmparken, Trippendalsvej",2620
Seniorbofællesskab i Naturbydelen Ringkøbing K,2020,Almene boliger,14,Etagebyggeri,Hebolgårde 2,6950
Fremtidens Sølund,2022,Almene boliger,20,,Ryesgade,2200
Sankt Joseph,2019,,29,,Strandvejen 91,2100
 Kongens Punkt,2019,Almene boliger,28,,Kanalbyen,7000
Seniorbofællesskabet Laanshøj,2020,Ejerboliger,19,,Laanshøj Alle,3500
Ekkodalen,2020,Almene boliger,25,,Bispevangen,2750
Fensmark Seniorbofællesskab ,2021,,36,,Ahornvej 3-5 i Fensmark,4700
Bofællesskabet Jonshøj,2020,Almene boliger,22,,Jonstrup,3500
Blumersgade,2020,,25,,Blumersgade 1,8700
Stenhøjparken - Seniorbofællesskab,2016,Almene boliger,15,Rækkehuse,Stenhøjparken 2-30 ,7000
Kamelia Hus,2018,Almene boliger,49,,Grønttorvet,2500
"""Seniorbofællesskabet på det gamle Faaborg Sygehus""",2021,Almene boliger,17,,""" Faaborg Sygehus""",5600
Odins have,2020,,50,,Middelfartvej 180,5200
"""Afdeling 47"" - intet navn",1999,Almene boliger,,,"Gunilshøjvej 170-200,Gunilslund 1-19 ",8600
"""Afdeling 64"" - intet navn",2005,Almene boliger,8,Rækkehuse,Dallerup Kirkevej 2-26 ,8641
Kirketerp Senior Bofællesskab,2021,Lejeboliger,18,,Kirketerp,9500
Hildis Have,2021,,23,,Vibekevej,3400
Seniorbofællesskabet Vesterled,2003,,17,,Jernbanegade 24,4690
"""Intet navn endnu""",2020,Andelsboliger,55,Etagebyggeri,Strandvangen 2,3600
Seniorbofællesskabet Sundbo ,2021,Lejeboliger,23,,Lergravsparken,2300
"""Diakonissestiftelsens seniorboliger""",2018,Lejeboliger,47,Etagebyggeri,Dronningensvej 14,2000
"""Seniorbofællesskab i Mogenstrup""",2020,Lejeboliger,32,Tæt-lav,"""Krohaven""",4700
"""Seniorboligerne i Nærheden  - Bovieran""",2020,Andelsboliger,55,,"""Kongelysvej 2""",2640
"""Rådhusvænge (Afd. 6616)""",2018,Lejeboliger,15,,Rådhusvænget 1 - 16 ,3650
Marias have,2020,Lejeboliger,19,,"""Præstbrovej""",8464
"""LGBT / Regnbue-seniorbofællesskabet""",2020,Almene boliger,28,,Sundholmsvej,2300
"""Nyt seniorbofællesskab i Brædstrup""",2021,,30,,Søndergade 27,8740
"""Seniorbofællesskabet Gilleleje""",2021,Andelsboliger,24,,Bavne Ager ,3250
Svaneparken,2002,Andelsboliger,22,,Svaneparken,5800
"""Seniorbofællesskab i Krogsbølle""",2021,Almene boliger,8,,"""På marken ved Agernæsmindevej i krogsbølle""",5450
"""Intet navn endnu""",2021,,11,Tæt-lav,"Boeskærvej, Vinding",7100
"""ikke noget navn - der bliver tale om to seniorbofællesskaber""",2021,,54,,Søkildevej,5700
